 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
Maharashtra,15,Amalner,6 Ankalesh Machindra Patil,MALE,43,GENERAL,MNS,Railway Engine,520,8,528,0.2855504959,293648
Maharashtra,15,Amalner,7 Ramkrishna Vijay Bansode (Bhaiyasaheb),MALE,35,SC,BSP,Elephant,493,5,498,0.2693260359,293648
Maharashtra,15,Amalner,8 Sandip Yuvraj Patil,MALE,30,GENERAL,IND,Whistle,487,,487,0.2633770673,293648
 TURNOUT , TOTAL : ,,,,,,,,182718,2188,184906,62.96858824,
Maharashtra,16,Erandol,1 CHIMANRAO RUPCHAND PATIL,MALE,69,GENERAL,SHS,Bow and Arrow,81977,673,82650,46.33496847,280441
Maharashtra,16,Erandol,2 ANNASAHEB DR. SATISH BHASKARRAO PATIL,MALE,61,GENERAL,NCP,Clock,63995,653,64648,36.24274702,280441
Maharashtra,16,Erandol,3 SHIROLE GOVIND EKNATH,MALE,57,GENERAL,IND,Whistle,24503,84,24587,13.78388227,280441
Maharashtra,16,Erandol,4 GAUTAM MADHUKAR PAWAR,MALE,41,GENERAL,VBA,Gas Cylinder,2291,12,2303,1.29110021,280441
Maharashtra,16,Erandol,5 NOTA,,,,NOTA,NOTA,1992,3,1995,1.118430273,280441
Maharashtra,16,Erandol,6 RAHUL RAGHUNATH PATIL,MALE,30,GENERAL,IND,Bat,791,2,793,0.4445690259,280441
Maharashtra,16,Erandol,7 SANJAY LAXMAN LOKHANDE,MALE,48,GENERAL,BSP,Elephant,634,1,635,0.3559915907,280441
Maharashtra,16,Erandol,8 PROF. PRATAPRAO RAMDAS PAWAR,MALE,68,GENERAL,IND,Tractor Chalata Kissan,506,,506,0.2836720392,280441
Maharashtra,16,Erandol,9 ABASAHEB CHIMANRAO PATIL,MALE,40,GENERAL,IND,Sewing Machine,257,1,258,0.144639103,280441
 TURNOUT , TOTAL : ,,,,,,,,176946,1429,178375,63.60517899,
Maharashtra,17,Chalisgaon,1 Mangesh Ramesh Chavan,MALE,36,GENERAL,BJP,Lotus,85286,1229,86515,39.69433777,345660
Maharashtra,17,Chalisgaon,2 Deshmukh Rajiv Anil,MALE,48,GENERAL,NCP,Clock,81288,940,82228,37.72739994,345660
Maharashtra,17,Chalisgaon,3 Morsing Gopa Rathod,MALE,45,GENERAL,VBA,Gas Cylinder,38361,68,38429,17.631783,345660
Maharashtra,17,Chalisgaon,4 Dr.Vinod Murlidhar Kotkar,MALE,42,GENERAL,IND,Balloon,4533,84,4617,2.118346616,345660
Maharashtra,17,Chalisgaon,5 NOTA,,,,NOTA,NOTA,1671,6,1677,0.7694319417,345660
Maharashtra,17,Chalisgaon,6 Rakesh Lalchand Jadhav,MALE,62,GENERAL,MNS,Railway Engine,1394,5,1399,0.6418815066,345660
Maharashtra,17,Chalisgaon,7 Onkar Pitambar Kedar,MALE,38,SC,BSP,Elephant,1300,1,1301,0.5969176841,345660
Maharashtra,17,Chalisgaon,8 Vinod Madhav Sonawane,MALE,61,SC,IND,Air Conditioner,1005,,1005,0.4611085876,345660
Maharashtra,17,Chalisgaon,9 Umesh Prakash Karpe,MALE,37,GENERAL,IND,Table,779,3,782,0.3587929508,345660
 TURNOUT , TOTAL : ,,,,,,,,215617,2336,217953,63.05415726,
Maharashtra,18,Pachora,1 Kishor Appa Patil,MALE,49,GENERAL,SHS,Bow and Arrow,74742,957,75699,37.58322287,315444
Maharashtra,18,Pachora,2 Amol Panditrao Shinde,MALE,41,GENERAL,IND,Cup & Saucer,73146,469,73615,36.5485535,315444
Maharashtra,18,Pachora,3 Dilip Onkar Wagh,MALE,54,GENERAL,NCP,Clock,44422,539,44961,22.32234618,315444
Maharashtra,18,Pachora,4 Naresh Pandit Patil,MALE,44,GENERAL,VBA,Gas Cylinder,3193,21,3214,1.595694504,315444
Maharashtra,18,Pachora,5 NOTA,,,,NOTA,NOTA,1716,8,1724,0.8559356956,315444
Maharashtra,18,Pachora,6 Rajendra Suresh Chaudhari (Rana),MALE,34,GENERAL,IND,Helicopter,947,,947,0.4701688537,315444
Maharashtra,18,Pachora,7 Santosh Fakira More,MALE,35,SC,BSP,Elephant,659,10,669,0.3321467403,315444
Maharashtra,18,Pachora,8 Mango Pundalik Pagare,MALE,53,SC,BAHUMP,Whistle,588,,588,0.2919316642,315444
 TURNOUT , TOTAL : ,,,,,,,,199413,2004,201417,63.85190398,
Maharashtra,19,Jamner	,1 Girish Dattatraya Mahajan,MALE,59,GENERAL,BJP,Lotus,113765,949,114714,54.94886595,308952
Maharashtra,19,Jamner	,2 Sanjay Bhaskarrao Garud,MALE,59,GENERAL,NCP,Clock,79022,678,79700,38.17689747,308952
Maharashtra,19,Jamner	,3 Bhimrao Namdeo Chavan,MALE,41,GENERAL,VBA,Gas Cylinder,6452,19,6471,3.09965751,308952
Maharashtra,19,Jamner	,4 Vijay Jagan Tanvar,MALE,41,GENERAL,RaJPa,Cauliflower,2118,,2118,1.014537878,308952
Maharashtra,19,Jamner	,5 NOTA,,,,NOTA,NOTA,2097,8,2105,1.00831078,308952
Maharashtra,19,Jamner	,6 ‍Dr. Vijayanand Arun Kulkarni,MALE,52,GENERAL,MNS,Railway Engine,1435,4,1439,0.6892917874,308952
Maharashtra,19,Jamner	,7 Shaktivardhan Shantaram Surwade,MALE,35,SC,BSP,Elephant,668,5,673,0.3223720451,308952
Maharashtra,19,Jamner	,8 Gajanan Ramkrushna Mali,MALE,33,GENERAL,IND,Whistle,659,,659,0.3156659402,308952
Maharashtra,19,Jamner	,9 Pavan Pandurang Bande,MALE,28,GENERAL,IND,Cup & Saucer,513,1,514,0.2462098532,308952
Maharashtra,19,Jamner	,10 Vasant Ramu Ingale,MALE,26,GENERAL,IND,Bat,372,,372,0.1781907887,308952
 TURNOUT , TOTAL : ,,,,,,,,207101,1664,208765,67.57198529,
Maharashtra,20,Muktainagar ,1 Chandrakant Nimba Patil,MALE,46,GENERAL,IND,Tractor Chalata Kissan,90698,394,91092,46.4234023,290175
Maharashtra,20,Muktainagar ,2 Khadse Rohini Eknathrao,FEMALE,36,GENERAL,BJP,Lotus,88367,768,89135,45.42605239,290175
Maharashtra,20,Muktainagar ,3 Rahul Ashok Patil,MALE,31,GENERAL,VBA,Gas Cylinder,9715,36,9751,4.969422077,290175
Maharashtra,20,Muktainagar ,4 NOTA,,,,NOTA,NOTA,1805,1,1806,0.9203954745,290175
Maharashtra,20,Muktainagar ,5 Bhagawan Damu Ingale,MALE,59,SC,BSP,Elephant,1583,2,1585,0.8077667924,290175
Maharashtra,20,Muktainagar ,6 Sanju Kadu Ingale,MALE,38,SC,BMUP,Cot,1401,2,1403,0.7150137601,290175
Maharashtra,20,Muktainagar ,7 Jyoti Mahendra Patil,FEMALE,26,GENERAL,IND,Spanner,888,,888,0.4525532565,290175
Maharashtra,20,Muktainagar ,8 Sanjay Pralhad Kandelkar,MALE,45,GENERAL,IND,Cup & Saucer,560,,560,0.2853939456,290175
 TURNOUT , TOTAL : ,,,,,,,,195017,1203,196220,67.62126303,
Maharashtra,21,Malkapur,1 Ekade Rajesh Panditrao,MALE,54,GENERAL,INC,Hand,85576,700,86276,46.32218714,268718
